FORMULA,Al,Co,Fe,Ni,Si,Cr,Mn,Ti,Cu,Mo,Nb,V,Zr,Sn,Ta,Hf,W,Zn,Re,Mg,Pd,YM
Al0.25 Co1 Fe1 Ni1,7.69230769230769,30.7692307692308,30.7692307692308,30.7692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,192
Al1 Co1 Fe1 Ni1,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,162
Co1 Fe1 Ni1,0.0,33.3333333333333,33.3333333333333,33.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,207
Co1 Cr1 Fe1 Ni1,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,226
Co1 Cr1 Mn1 Ni1,0.0,25.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,222
Co1 Mn1 Ni1,0.0,33.3333333333333,0.0,33.3333333333333,0.0,0.0,33.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,202
Fe1 Mn1 Ni1,0.0,0.0,33.3333333333333,33.3333333333333,0.0,0.0,33.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,203
Al0.375 Co1 Cr1 Fe1 Ni1,8.57142857142857,22.8571428571429,22.8571428571429,22.8571428571429,0.0,22.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,207
Al0.875 Co1 Cr1 Fe1 Ni1,17.948717948718,20.5128205128205,20.5128205128205,20.5128205128205,0.0,20.5128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,188
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,23.8095238095238,19.0476190476191,19.0476190476191,19.0476190476191,0.0,19.0476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,27.2628135223555,18.1842966194111,18.1842966194111,18.1842966194111,0.0,18.1842966194111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,171
Co1 Cr1 Fe1 Ni1 Ti1,0.0,20.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,195
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,38.4615384615385,15.3846153846154,15.3846153846154,15.3846153846154,0.0,15.3846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,152
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,42.8816466552316,14.2795883361921,14.2795883361921,14.2795883361921,0.0,14.2795883361921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145
